place	state	latitude	longitude
New York City	36	40.7128	-74.0060
Niagara Falls	36	43.0962	-79.0377
Syracuse	36	43.0481	-76.1474
Boston	25	42.3601	-71.0589
Newton	25	42.3370	-71.2092
Cambridge	25	42.3736	-71.1097
Somerville	25	42.3967	-71.1212
Winthrop	25	42.3740	-70.9890
Blue Hills Reservation	25	42.2333	-71.1227
Middlesex Fells Reservation	25	42.4753	-71.1406
Concord	25	42.4600	-71.3490
Lexington	25	42.4479	-71.2271
Nashoba Valley	25	42.4890	-71.6490
Salem	25	42.5195	-70.8967
Fort Lauderdale	12	26.1223	-80.1434
Miami Beach	12	25.7617	-80.1918
Key West	12	24.5551	-81.7800
Weston	12	26.1000	-80.4000
Chicago	17	41.8781	-87.6298
Geneva	17	41.8889	-88.3042
Fermilab	17	41.8507	-88.2657
Argonne National Lab	17	41.7500	-88.2541
Anaheim	06	33.8366	-117.9143
Hollywood	06	34.0928	-118.3287
LA Downtown	06	34.0522	-118.2437
Santa Monica Beach	06	34.0226	-118.4957
Lancaster	06	34.6868	-118.1542
Lake Isabella	06	35.6317	-118.4905
Kingsburg	06	36.4850	-119.5743
Sequoia National Park	06	36.4864	-118.5658
Las Vegas	32	36.1699412	-115.1398296
Moapa Valley	32	36.5805298	-114.4702591
St. George	49	37.096527	-113.582520
Grafton Ghost Town	49	37.1322	-113.1666
Zion National Park	49	37.200190	-112.987139
Kanab	49	37.058346	-112.527293
Glen Canyon Dam	04	36.929637	-111.498500
Horseshoe Bend	04	36.8787	-111.5119
Grand Canyon	04	36.1069	-112.1129
Tusayan	04	35.9917	-112.1489
Kingman	04	35.1895	-113.5283
Cyanide Springs	04	35.0191	-113.4136
Hoover Dam	32	36.0156	-114.7375
Red Rock Canyon National Park	32	36.1147	-115.4271
Mount Charleston	32	36.2381	-115.6403
Amargosa Valley	32	36.6344	-116.5336
Death Valley National Park	06	36.5053891	-117.0794078
Princeton	34	40.3573	-74.6672
Windsor	34	40.2423	-74.5813
Lincoln	33	44.0444	-71.6684
